DocID,Paragraph
0724174,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0724174,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0724174,"The most famous experiment in preschool enrichment -- relied on heavily by Murray-Herrnstein -- is the Perry Preschool program in the mid-1960's. About 123 black children living in poverty in Ypsilanti, Mich., with I.Q.'s below average, were divided into experimental and control groups. Those in the experimental group attended an intensive preschool progam and scored an average of 11 points higher on I.Q. tests than those in the control group. And, as Mr. Murray and Mr. Herrnstein noted in their book, the differences had faded after a few years."
0724174,"""Murray and Herrnstein just ignored the evidence,"" said James Heckman, an economist at the University of Chicago. ""They are 180 degrees off course."""
0724174,"10 * 8 13 THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0724174,"Such clever merchandising may make ""The Bell Curve"" the best-selling unread book since the last novel by Umberto Eco. Then again, Mr. Murray and Mr. Herrnstein may have outsmarted themselves. A book that blames low I.Q.'s for what ails America may have tough sledding in a culture where even conservatives have been rushing to deify the 75 I.Q. of Forrest Gump."
0724174,"Other researchers have confirmed Dr. Flynn's findings, and Dr.  Neisser, who ran a seminar on the phenomenon in 1996, is editing a book on the subject. The book, ''The Rising Curve: Long-Term Gains in I.Q. and Related Measures,'' is to be published this spring by the American Psychological Association."
0719841,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0719841,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0720425,"Charles Murray and Richard J. Herrnstein, authors of the controversial book, ""The Bell Curve: Intelligence and Class Structure in American Life"" (the Free Press), make no secret of their pessimism about the prospects for elevating the underclass. ""For the foreseeable future,"" they wrote, ""the problems of low cognitive ability are not going to be solved by outside intervention."""
0720425,"Charles Murray and Richard J. Herrnstein, authors of the controversial book, ""The Bell Curve: Intelligence and Class Structure in American Life"" (the Free Press), make no secret of their pessimism about the prospects for elevating the underclass. ""For the foreseeable future,"" they wrote, ""the problems of low cognitive ability are not going to be solved by outside intervention."""
0720425,"THE BELL CURVE, by Richard J. Herrnstein and Charles Murray. (Free Press, $30.) Ways in which differences in intelligence affect American life."
0720425,"The book has already ignited bitter controversy, and that is no surprise. It declares settled what many regard as an unresolved argument over whether I.Q.'s have scientific merit. Moreover, Mr. Murray's record as a political ideologue who uses social science data to support his policy preferences touches a tender spot in American intellectual history on the issue of race and intelligence."
0720425,"The book has already ignited bitter controversy, and that is no surprise. It declares settled what many regard as an unresolved argument over whether I.Q.'s have scientific merit. Moreover, Mr. Murray's record as a political ideologue who uses social science data to support his policy preferences touches a tender spot in American intellectual history on the issue of race and intelligence."
0720425,OUTSMARTING IQ  The Emerging Science of Learnable Intelligence. By David Perkins. 390 pp. New York: The Free Press. $23.
0720425,"""The Bell Curve,"" a flame-throwing treatise on race, class and intelligence by the late Richard Herrnstein and Charles Murray advances a grisly thesis: I.Q., largely inherited and intractable, dictates an individual's success -- an economic death knell for much of America's black population. The story has America increasingly divided by race and sliding inexorably into castes based on I.Q."
0720425,"The idea that you can explain the distribution of the ""goodies"" of life in this country by invoking arguments of race and genes is intellectually dishonest (""Daring Research or 'Social Science Pornography'?"" by Jason DeParle, Oct. 9). The public policy implications of ""The Bell Curve"" are merely Republican prescriptions for laissez-faire policies, with Charles Murray and Richard Herrnstein cloaking their arguments in academic garb to gain respectability. They exalt the virtues of the marketplace and see government policies as assaults on the meritocracy. They ask us to ignore or forget that this meritocracy systematically excluded women, people of color, the disabled, etc. from the competitive process. Their argument is not new. Neither is abuse of so-called scientific research in the service of mean-spirited political objectives. THOMPSON F. WILLIAMS JR. Watertown, Mass."
0831034,"Richard J. Herrnstein, a Harvard University psychologist whose theory that intelligence was largely inherited made him a focus for debate, died at his home in Belmont, Mass., on Tuesday. He was 64."
0831034,"""The earliest returns on Head Start were exhilarating,"" Mr. Herrnstein and Mr. Murray write. ""A few months spent by preschoolers in the first summer program seemed to be producing incredible I.Q. gains -- as much as 10 points."" The gain was so impressive that in 1966 Congress expanded the program, but by then, the authors of ""The Bell Curve"" say, ""experts were noticing the dreaded 'fade-out,' the gradual convergence in test scores of the children who participated in the program with comparable children who had not. To shorten a long story, every serious attempt to assess the impact of Head Start on intelligence has found fade-out."" Cognitive benefits ""picked up in the first grade of school are usually gone by the third grade. By sixth grade, they have vanished entirely."""
