Doc ID,Institute Mentions,Authors Mentions,Concept Mentions (Total),Concept Mentions (Abstract),Concept Mentions (Number Of Paragraphs),Age Of The Concept In Months,Average Mentions per Paragraph,Percentage of Mentions in Abstract,Length of the Document,Keyword 1 mentions,Keyword 2 mentions,Keyword 3 mentions,Document Type,Career Stage,Number of Unique Words,Number of Sentences,Average Sentence Length,Sentiment Score,Exclamation Marks Count,Question Marks Count,Position of First Theory Mention,Contextual Phrase Count,Interpretative Word Count,Number of Adjectives,Number of Nouns,Number of Verbs,Number of Adverbs,Lexical Density,Flesch Reading Ease,Year
0712325,7,28,2,0,2,0,0.10526315789473684,0.0,7606,12,7,2,0,1,500,30,32.333333333333336,0.12709826839826838,0,1,-1,0,11,106,412,7,24,0.5159958720330238,41.46,1994
0716812,7,143,11,0,11,1,0.09243697478991597,0.0,56371,22,19,13,1,1,3193,392,22.0765306122449,0.060482768141363025,3,15,-1,0,30,877,2126,306,424,0.37089092809850155,53.51,1994
0718184,2,34,13,1,11,1,0.22,0.07692307692307693,30971,12,43,5,1,1,1795,147,30.45578231292517,0.09521305526624678,0,9,-1,0,11,523,1056,134,189,0.4015659955257271,41.9,1994
0719208,1,8,4,0,3,1,0.17647058823529413,0.0,10998,13,9,1,1,1,696,58,24.982758620689655,0.07834589517625229,0,6,-1,0,4,189,399,39,84,0.4809951624049758,37.6,1994
0719432,0,6,2,0,1,1,0.06666666666666667,0.0,8244,3,6,3,0,2,540,18,53.55555555555556,0.10985316921884081,0,5,-1,0,3,117,411,23,34,0.5607476635514018,25.19,1994
0719841,0,4,2,1,1,1,0.005917159763313609,0.5,23174,4,2,0,1,1,870,229,12.314410480349345,-0.009053831970498635,0,3,-1,0,0,346,1245,32,52,0.30872959545777146,60.41,1994
0720106,0,6,2,1,1,1,0.2,0.5,5822,2,11,3,1,1,306,27,24.666666666666668,0.017575950834879405,0,15,-1,0,2,91,278,6,20,0.4594594594594595,22.0,1994
0720110,0,6,1,0,1,1,0.06666666666666667,0.0,9090,1,7,0,1,2,559,32,36.96875,0.1286796536796537,0,5,-1,0,0,117,374,43,49,0.4725274725274725,33.54,1994
0720111,0,6,1,0,1,1,0.058823529411764705,0.0,8401,0,3,12,1,2,578,40,26.3,0.10846861471861471,0,9,-1,0,1,136,371,31,46,0.5515267175572519,37.91,1994
0720238,0,12,11,1,10,1,0.9090909090909091,0.09090909090909091,7633,9,2,1,0,1,508,31,28.741935483870968,0.11879880740174856,3,6,-1,0,2,115,344,21,42,0.5707865168539326,29.65,1994
0720425,0,15,8,1,4,1,0.36363636363636365,0.125,9485,23,9,6,0,1,579,64,18.6875,0.07892389390270746,0,1,-1,0,9,157,395,30,54,0.48737373737373735,31.99,1994
0720772,0,1,1,0,1,1,0.058823529411764705,0.0,9204,1,0,0,1,1,581,59,21.203389830508474,0.09501252963306532,0,10,-1,0,2,132,367,44,63,0.4648,57.27,1994
0720878,0,14,7,1,5,1,0.38461538461538464,0.14285714285714285,8005,1,7,0,0,1,487,25,37.88,0.050938809867381314,0,1,-1,0,4,110,356,27,44,0.5158898305084746,25.59,1994
0720884,0,4,1,0,1,1,0.16666666666666666,0.0,4533,6,5,4,0,2,269,18,23.833333333333332,0.038606988249845396,0,4,-1,0,0,69,244,17,10,0.627039627039627,-1.36,1994
0720885,0,0,3,1,2,1,0.3333333333333333,0.3333333333333333,4901,2,11,4,0,2,276,15,30.733333333333334,0.04591224747474748,0,3,-1,0,4,70,250,8,16,0.5986984815618221,-2.98,1994
0720886,0,0,4,2,2,1,0.6666666666666666,0.5,4238,2,5,2,0,2,201,11,34.90909090909091,0.1319304152637486,0,1,-1,0,0,63,239,7,9,0.5234375,-5.72,1994
0720887,0,0,3,1,1,1,0.3333333333333333,0.3333333333333333,3609,3,5,2,0,2,171,6,47.0,0.02727272727272727,0,2,-1,0,0,51,219,1,13,0.6063829787234043,-29.27,1994
0721084,0,18,7,2,4,1,0.2,0.2857142857142857,10509,3,15,2,1,1,696,49,27.122448979591837,0.04444393760509461,0,5,-1,0,7,152,446,45,64,0.525679758308157,38.11,1994
0721353,0,4,2,0,1,1,0.09090909090909091,0.0,8682,12,10,0,0,1,525,45,21.6,0.06252512368583803,0,5,-1,0,8,106,398,24,48,0.5401234567901234,22.41,1994
0722989,0,0,1,0,1,2,0.14285714285714285,0.0,4030,6,3,0,0,2,242,11,36.81818181818182,0.0822647527910686,0,1,-1,0,3,63,192,8,17,0.5975308641975309,4.78,1994
0722990,0,6,2,1,1,2,0.25,0.5,4053,6,2,0,0,2,234,13,30.0,0.007743014561196379,0,1,-1,0,0,61,226,3,7,0.6,13.14,1994
0723183,1,4,2,1,1,2,0.006369426751592357,0.5,23141,0,2,0,1,1,882,217,13.271889400921658,-0.01313279857397504,0,1,-1,0,0,352,1259,28,56,0.3066759388038943,68.16,1994
0724174,1,20,7,1,3,2,0.13636363636363635,0.14285714285714285,12159,6,10,0,0,2,731,46,34.26086956521739,0.12085971814073998,0,4,-1,0,9,190,540,43,44,0.46590184831102616,36.49,1994
0724800,1,2,1,0,1,2,0.1,0.0,6863,0,1,4,0,3,431,31,24.612903225806452,-0.10011183261183272,0,6,-1,0,5,98,309,29,33,0.5656167979002624,21.4,1994
0724984,1,4,2,1,1,2,0.00625,0.5,23108,0,2,0,1,1,874,221,12.941176470588236,0.07342034475186648,2,1,-1,0,0,362,1243,30,58,0.30602240896358546,68.06,1994
0725181,0,2,4,0,1,2,0.3333333333333333,0.0,5187,0,5,1,1,1,276,22,25.09090909090909,0.21609696969696965,0,1,-1,0,4,53,243,18,29,0.5018181818181818,13.04,1994
0725182,0,6,6,1,2,2,0.4,0.16666666666666666,6026,0,4,3,1,1,363,20,34.4,0.10720314253647588,0,2,-1,0,1,85,287,35,22,0.5291545189504373,31.38,1994
0725183,0,4,5,1,1,2,0.3333333333333333,0.2,5012,2,1,5,1,1,283,13,39.15384615384615,0.14459240084240085,0,1,-1,0,4,70,276,9,17,0.5581854043392505,14.05,1994
0725184,0,2,3,0,0,2,0.0,0.0,4568,0,7,1,1,1,233,14,32.92857142857143,0.09855886450714033,0,1,-1,0,0,70,244,7,15,0.5098468271334792,22.61,1994
0725185,0,2,3,0,0,2,0.0,0.0,3292,0,5,1,1,1,143,5,49.2,0.1660606060606061,0,1,-1,0,0,29,195,2,8,0.5860655737704918,-36.31,1994
0725186,0,2,3,0,0,2,0.0,0.0,4529,7,1,1,1,1,246,19,24.210526315789473,0.25448773448773443,0,1,-1,0,1,56,213,16,13,0.5394736842105263,24.14,1994
0725187,0,2,3,0,0,2,0.0,0.0,3366,4,1,1,1,1,152,9,29.22222222222222,0.12866419294990727,0,1,-1,0,0,37,200,4,4,0.5868725868725869,-16.04,1994
0725188,0,4,3,0,0,2,0.0,0.0,4528,0,1,1,1,3,266,10,45.8,0.14311688311688314,0,1,-1,0,2,58,229,11,15,0.5833333333333334,14.76,1994
0725189,0,2,3,0,0,2,0.0,0.0,5069,0,7,7,1,1,291,14,37.285714285714285,0.1668410293410293,0,1,-1,0,3,74,243,5,26,0.5596153846153846,12.53,1994
0725190,0,6,3,0,0,2,0.0,0.0,4905,0,1,1,1,1,231,17,29.294117647058822,0.07893114821686249,0,1,-1,0,0,70,242,12,22,0.4657258064516129,16.28,1994
0725191,0,2,3,0,0,2,0.0,0.0,4135,0,1,1,1,1,190,11,34.72727272727273,0.22150974025974018,0,1,-1,0,2,47,225,14,8,0.5,8.23,1994
0725192,0,6,3,0,0,2,0.0,0.0,4116,0,3,1,1,1,199,11,33.63636363636363,0.1477272727272727,0,1,-1,0,9,33,214,9,19,0.5407608695652174,8.23,1994
0725193,0,2,3,0,0,2,0.0,0.0,3865,4,1,1,1,1,201,12,28.416666666666668,0.23785123966942148,0,4,-1,0,2,40,213,0,2,0.5964391691394659,-0.95,1994
0725194,0,2,3,0,0,2,0.0,0.0,4891,0,1,1,1,1,262,17,31.0,0.12585227272727273,0,1,-1,0,0,69,225,4,36,0.4990476190476191,20.89,1994
0725195,0,2,3,0,0,2,0.0,0.0,3759,4,1,1,1,1,184,17,19.88235294117647,0.05186688311688311,0,1,-1,0,0,45,215,4,4,0.5542168674698795,11.17,1994
0725196,0,2,3,0,0,2,0.0,0.0,3817,2,3,3,1,1,174,13,27.23076923076923,0.3310606060606061,0,1,-1,0,0,43,225,4,8,0.4943181818181818,15.88,1994
0725197,0,2,6,1,2,2,0.5,0.16666666666666666,5374,0,2,2,1,1,295,18,32.5,0.1798636363636364,0,1,-1,0,2,62,257,13,11,0.5060034305317325,28.03,1994
0726340,0,4,3,1,2,2,0.2857142857142857,0.3333333333333333,4428,5,11,0,1,2,274,14,34.214285714285715,0.07036363636363636,0,4,-1,0,0,54,227,14,15,0.5720250521920668,30.77,1994
0726351,0,2,1,0,1,2,0.14285714285714285,0.0,4595,5,6,2,0,1,267,13,37.46153846153846,0.11739267676767677,0,1,-1,0,2,51,249,7,13,0.5493827160493827,21.7,1994
0726406,0,4,2,1,1,2,0.00625,0.5,23204,0,2,2,1,1,878,215,13.33953488372093,0.08104302518859484,0,1,-1,0,2,346,1235,48,46,0.30656424581005587,67.86,1994
0726452,0,2,1,0,1,2,0.06666666666666667,0.0,9946,1,3,2,1,3,713,37,36.648648648648646,0.06350294326484807,0,3,-1,0,5,162,423,32,39,0.5265878877400295,41.5,1994
0726624,0,7,2,1,1,2,1.0,0.5,4392,0,2,2,0,1,193,17,23.941176470588236,-0.09983164983164983,0,3,-1,0,0,56,214,11,10,0.4742014742014742,-12.96,1994
0726625,0,5,0,0,0,2,0.0,0,3533,2,3,0,0,1,166,6,50.0,-0.1721590909090909,0,1,-1,0,0,34,222,11,3,0.5533333333333333,-10.08,1994
0726626,0,5,0,0,0,2,0.0,0,3448,2,6,0,0,1,174,15,17.8,0.24030794962613145,0,15,-1,0,1,35,199,8,10,0.651685393258427,-27.45,1994
0726627,0,6,0,0,0,2,0.0,0,4050,2,2,0,1,1,207,11,34.81818181818182,0.23095959595959592,0,2,-1,0,1,51,205,11,6,0.5433070866141733,5.08,1994
0727740,0,4,2,1,1,2,0.006369426751592357,0.5,23040,0,2,0,1,1,879,215,13.320930232558139,0.05719389012071939,0,1,-1,0,2,354,1229,46,48,0.30734265734265737,67.96,1994
0727895,0,4,2,1,1,2,1.0,0.5,3697,2,0,2,0,1,170,11,30.454545454545453,0.2151515151515152,0,1,-1,0,0,34,204,17,18,0.5074626865671642,0.21,1994
