Doc ID,Institute Mentions,Authors Mentions,Concept Mentions (Total),Concept Mentions (Number Of Paragraphs),Length of the Document,Keyword 1 mentions,Keyword 2 mentions,Keyword 3 mentions,Career Stage,Year,Age Of The Concept In Months
724174,0,14,4,4,292,5,3,0,2,1994,2
719841,0,4,2,2,44,0,2,0,1,1994,1
720425,0,12,5,5,469,5,7,5,1,1994,1
831034,1,4,1,1,275,4,6,0,1,1996,17
720106,0,2,2,2,56,0,1,1,1,1994,1
720238,0,19,9,8,554,4,4,2,1,1994,1
797456,0,2,1,1,186,0,10,0,2,1995,13
732032,0,3,2,2,180,1,1,0,2,1994,3
1109849,0,2,1,1,131,0,0,1,3,1999,56
997674,0,4,2,2,269,5,2,0,1,1998,41
721084,0,11,4,4,473,2,3,2,1,1994,1
729187,1,2,1,1,45,0,0,0,1,1994,3
1529843,1,4,0,0,303,0,1,0,3,2003,109
723183,0,4,2,2,100,2,2,0,1,1994,2
718184,1,26,10,10,1352,5,19,1,1,1994,1
1019856,0,5,2,2,277,1,3,1,3,1998,44
971372,0,1,1,1,127,1,1,1,2,1997,38
1498933,0,4,1,1,114,0,0,0,1,2003,105
716812,2,30,6,6,847,5,6,2,1,1994,1
734680,0,2,2,2,59,1,0,0,3,1995,4
719208,0,2,4,3,197,1,1,1,1,1994,1
752631,0,6,2,2,153,0,3,1,1,1995,7
726351,0,4,3,2,83,1,3,0,1,1994,2
1269596,0,0,0,0,114,0,3,0,3,2001,77
740225,0,9,4,4,313,2,4,0,1,1995,4
719432,0,2,0,0,69,0,0,0,2,1994,1
726340,0,6,2,2,160,2,3,0,2,1994,2
731763,0,4,2,2,83,0,0,0,1,1994,3
738399,0,4,2,2,306,0,2,0,1,1995,4
726406,0,4,2,2,121,2,1,0,1,1994,2
741519,0,4,2,2,138,0,2,0,1,1995,5
724984,0,4,2,2,143,3,1,0,1,1994,2
729189,0,4,2,2,52,0,2,0,1,1994,3
734231,0,4,2,2,52,0,2,0,1,1995,4
727740,0,4,2,2,133,0,0,1,1,1994,2
730716,0,4,2,2,46,0,2,0,1,1994,3
737064,1,4,2,2,105,1,2,2,1,1995,4
733157,0,4,2,2,86,0,0,0,1,1994,3
735530,0,4,2,2,165,1,5,1,1,1995,4
742898,0,4,2,2,154,1,3,0,1,1995,5
1282756,0,1,0,0,242,2,8,0,3,2001,79
751854,0,2,1,1,21,0,0,0,3,1995,6
722990,0,4,2,2,44,0,2,0,2,1994,2
734621,0,0,1,1,84,1,0,2,3,1995,4
1222336,1,1,0,0,32,0,1,0,2,2000,71
724800,0,0,1,1,68,0,0,0,3,1994,2
712325,3,14,2,2,533,11,4,4,1,1994,0
1214886,0,1,1,1,203,0,0,0,1,2000,70
720878,0,9,5,5,289,2,3,0,1,1994,1
902956,0,2,0,0,163,0,0,0,2,1997,28
720111,0,1,1,1,101,0,0,0,2,1994,1
720110,0,2,1,1,156,0,0,0,2,1994,1
725182,0,4,1,1,187,0,4,0,1,1994,2
720772,0,2,1,1,26,0,1,0,1,1994,1
726452,0,0,0,0,65,0,3,0,3,1994,2
763851,1,4,1,1,519,5,17,1,3,1995,8
1424320,1,1,0,0,211,0,0,2,3,2002,96
738402,0,5,2,2,336,1,0,2,1,1995,4
721353,0,0,0,0,174,2,4,0,1,1994,1
964119,0,14,3,3,505,2,9,0,1,1997,37
749612,0,2,0,0,69,0,0,0,2,1995,6
720885,0,4,2,2,123,0,2,0,2,1994,1
734262,1,2,0,0,89,0,1,1,3,1995,4
907950,0,1,1,1,82,0,0,1,3,1997,29
726624,0,4,1,1,101,1,0,0,1,1994,2
722989,0,2,1,1,43,1,0,0,2,1994,2
720884,0,0,1,1,35,0,1,1,2,1994,1
911811,0,0,0,0,88,1,1,1,3,1997,29
725192,0,5,1,1,168,1,2,0,1,1994,2
1013441,0,2,0,0,84,0,0,0,3,1998,43
720886,0,3,1,1,94,0,2,0,2,1994,1
976871,0,1,1,1,175,0,0,2,3,1997,38
725183,0,7,1,1,421,1,2,2,1,1994,2
725184,0,2,1,1,339,0,8,0,1,1994,2
828269,0,2,0,0,69,0,3,0,3,1996,17
828454,1,2,0,0,60,1,0,0,3,1996,17
725196,0,2,1,1,249,2,2,3,1,1994,2
725190,0,6,1,1,403,0,1,1,1,1994,2
725181,0,1,1,1,49,1,1,0,1,1994,2
815352,0,0,1,1,54,0,0,0,1,1995,15
725197,1,8,2,2,456,1,1,3,1,1994,2
727895,0,0,1,1,138,1,2,2,1,1994,2
725188,0,4,1,1,174,0,1,1,3,1994,2
720887,0,4,2,2,211,5,1,0,2,1994,1
725186,1,2,1,1,97,0,0,0,1,1994,2
725189,0,2,1,1,74,0,1,0,1,1994,2
725193,0,2,1,1,89,0,1,0,1,1994,2
725185,0,1,1,1,30,0,0,0,1,1994,2
725194,0,2,1,1,112,0,2,0,1,1994,2
725187,0,2,1,1,69,1,1,0,1,1994,2
725191,0,2,2,1,83,1,0,0,1,1994,2
725195,0,1,1,1,48,0,0,0,1,1994,2
727896,0,0,0,0,153,1,3,0,1,1994,2
726625,0,2,0,0,155,2,1,0,1,1994,2
726626,0,2,0,0,155,2,1,0,1,1994,2
726627,0,2,0,0,155,2,1,0,1,1994,2
